disease_name,gene_affected,chromosome_location,inheritance_pattern,key_symptoms,treatments,description
Cystic Fibrosis,CFTR,7q31.2,Autosomal recessive,"Persistent lung infections, Difficulty breathing, Poor growth, Frequent coughing with phlegm, Recurrent sinusitis","Airway clearance techniques, Medications (bronchodilators, antibiotics), Pancreatic enzyme supplements, CFTR modulators","A hereditary disease that affects the lungs and digestive system, causing the body to produce thick and sticky mucus."
Huntington's Disease,HTT,4p16.3,Autosomal dominant,"Involuntary movements, Cognitive decline, Mood changes, Difficulty with coordination","Tetrabenazine for movement disorders, Antidepressants, Physical therapy, Speech therapy","A progressive brain disorder that causes uncontrolled movements, emotional problems, and loss of thinking ability."
Phenylketonuria (PKU),PAH,12q23.2,Autosomal recessive,"Intellectual disability (if untreated), Musty odor, Seizures, Skin rashes, Fair skin and blue eyes","Phenylalanine-restricted diet, Medical formula, Sapropterin (Kuvan) medication","A rare inherited disorder that causes an amino acid called phenylalanine to build up in the body, potentially causing intellectual disability if untreated."
Sickle Cell Disease,HBB,11p15.5,Autosomal recessive,"Pain crises, Anemia, Frequent infections, Delayed growth, Vision problems","Pain medications, Hydroxyurea, Blood transfusions, Bone marrow transplant, Voxelotor, Antibiotics","A group of inherited red blood cell disorders that affects hemoglobin, causing red blood cells to become sickle-shaped and break down prematurely."
Tay-Sachs Disease,HEXA,15q23-q24,Autosomal recessive,"Progressive loss of mental and physical abilities, Seizures, Vision and hearing loss, Muscle weakness","Supportive care, Anticonvulsants for seizures, Physical therapy","A rare inherited disorder that progressively destroys nerve cells in the brain and spinal cord."
Hemophilia A,F8,Xq28,X-linked recessive,"Excessive bleeding, Easy bruising, Joint pain and swelling, Bleeding in urine or stool","Clotting factor replacement therapy, Desmopressin (DDAVP), Antifibrinolytics","A bleeding disorder in which blood doesn't clot properly due to lack of blood-clotting proteins (clotting factors)."
Down Syndrome,Chromosome 21,21,Chromosomal,"Intellectual disability, Distinctive facial features, Heart defects, Delayed development","Early intervention programs, Speech therapy, Physical therapy, Cardiac surgery when needed","A genetic disorder caused by the presence of all or part of a third copy of chromosome 21."
Duchenne Muscular Dystrophy,DMD,Xp21.2,X-linked recessive,"Progressive muscle weakness, Delay in walking, Enlarged calf muscles, Difficulty rising from the floor","Corticosteroids, Physical therapy, Respiratory support, Exondys 51 for specific mutations","A genetic disorder characterized by progressive muscle degeneration and weakness due to alterations of a protein called dystrophin."
Fragile X Syndrome,FMR1,Xq27.3,X-linked dominant,"Intellectual disability, Delayed speech, Hyperactivity, Social anxiety, Distinctive facial features","Educational support, Behavioral therapy, Medications for specific symptoms","A genetic condition that causes a range of developmental problems including learning disabilities and cognitive impairment."
Marfan Syndrome,FBN1,15q21.1,Autosomal dominant,"Tall and slender build, Long limbs, Heart issues, Lens dislocation, Flexible joints","Beta-blockers, Surgery for aortic problems, Vision correction, Physical therapy","A genetic disorder that affects the body's connective tissue, which provides strength and flexibility to structures throughout the body."
